Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.09,01.00.03.Р54,,,резка металического листа,оц.2.5мм,1250,1520,19000,6620,48,8,"3177,6","19,222","76,09",3652,321,"15,6",,,19980,1,389,,,,,,,,
01.00.03.09,01.00.03.Р55,,,резка металического листа,оц.2.5мм,1250,1520,19000,1472,22,2,"323,84","1,959","16,92",372,151,"16,8",,,19980,5,1682,,,,,,,,
01.00.03.09,01.00.03.Р56,,,резка металического листа,оц.2.5мм,1250,1520,19000,462,22,2,"101,64","0,615","5,31",117,83,"5,6",,,19980,1,558,,,,,,,,
,,,,,,1250,1520,19000,,,,0,"0,000","0,00",0,,"0,0",,,19980,,0,,,,,,,,
,,,,,,1250,1520,19000,,,,0,"0,000","0,00",0,,"0,0",,,19980,,0,,,,,,,,
,,,,,,1250,1520,19000,,,,0,"0,000","0,00",0,,"0,0",,,19980,,0,,,,,,,,
,,,,,,1250,1520,19000,,,,0,"0,000","0,00",0,,"0,0",,,19980,,0,,,,,,,,
,,,,,,1250,1520,19000,,,,0,"0,000","0,00",0,,"0,0",,,19980,,0,,,,,,,,
,,,,,,,,,,,,"16531,4","13,0",,19000,2031,,,,,7,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,01.00.03.10,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.10,01.00.03.Р57,,,,проф.с10,1190,1600,19040,418141,2,2,"8362,82","47,755","4546,26",9093,3792,"62,2",9,43,583,44,181,,,,,,,,
01.00.03.10,01.00.03.Р58,,,,проф.с10,1190,1600,19040,457459,2,2,"9149,18","52,245","4973,74",9947,2734,"37,8",,,583,18,110,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,583,,0,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,583,,0,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,583,,0,,,,,,,,
,,,,,,,,,,,,17512,"8,0",,19040,6526,,,,,62,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,01.00.03.11,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.11,01.00.03.Р59,,,,проф.с10,1190,1600,19040,607500,2,2,12150,"100,000","9520,00",19040,3125,"100,0",5,11,311,39,156,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,311,,0,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,311,,0,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,311,,0,,,,,,,,
,,,,,,1190,1600,19040,,,,0,"0,000","0,00",0,,"0,0",,,311,,0,,,,,,,,
,,,,,,,,,,,,12150,"36,2",,19040,3125,,,,,39,,,,,,,,,
